Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	PiEntropy	TargEntropy	Alpha	LossPi	LossQ1	LossQ2	LossAlpha	Time
1	22.976744	28.87784	185.0	8.0	125.9	46.116047	226.0	83.0	22.976744	125.9	2000	5.3182654	3.0501986	12.18149	-0.2707194	5.2908573	3.082548	12.093065	-0.78624487	0.65732306	0.20794417	0.75728106	-5.816683	0.3143011	0.33846608	-0.1247647	10.897634744644165
2	160.08333	88.083725	327.0	25.0	308.7	78.95195	433.0	157.0	160.16667	308.7	4000	14.6947975	4.67971	24.295345	-3.0664034	14.694073	4.6789713	23.889122	-3.5948093	0.3983591	0.20794417	0.47836486	-15.2502165	0.41389772	0.40824708	-0.13612464	22.04518437385559
3	220.22223	44.772953	255.0	103.0	217.0	43.218052	284.0	158.0	220.33333	217.0	6000	23.393932	6.3936586	35.923702	-6.2204456	23.393158	6.39239	35.11733	-6.6245975	0.3156877	0.20794415	0.33757836	-23.9922	0.622267	0.6216699	-0.116517015	32.836538791656494
4	187.90909	28.176245	236.0	120.0	184.3	42.066734	304.0	150.0	188.0	184.3	8000	30.609238	8.512681	46.410873	-9.1116295	30.608334	8.512236	45.518215	-9.0081415	0.2732557	0.20794417	0.22408561	-31.184164	0.8863612	0.88652843	-0.09679745	43.41913866996765
5	208.22223	80.33787	348.0	52.0	187.4	20.991426	225.0	153.0	208.33333	187.4	10000	36.58987	10.527015	54.59406	-12.090103	36.58863	10.529368	54.05819	-11.4675455	0.2405434	0.20794417	0.15404734	-37.137062	1.2502266	1.2378564	-0.06041207	54.19544196128845
6	210.5	39.707054	291.0	163.0	235.0	65.6917	382.0	172.0	210.6	235.0	12000	41.877457	12.429095	63.102306	-14.554761	41.87617	12.433305	62.67689	-13.042892	0.21286808	0.20794417	0.12097122	-42.400677	1.4497787	1.4132805	-0.010180276	65.2613890171051
7	206.33333	53.114132	251.0	71.0	261.5	59.58901	401.0	189.0	206.44444	261.5	14000	46.805847	14.317693	71.02328	-17.065222	46.80444	14.321998	70.10185	-15.348889	0.19743003	0.20794418	0.14290108	-47.308605	1.9752395	1.925646	0.020578606	75.77283883094788
8	250.375	63.49791	361.0	179.0	238.1	45.346333	313.0	166.0	250.5	238.1	16000	51.226696	15.76783	78.12299	-20.542847	51.225864	15.767668	77.67458	-17.517921	0.2036804	0.20794415	0.17865804	-51.70517	2.2792897	2.2682571	0.0074086944	86.6848247051239
9	231.22223	54.050957	324.0	156.0	226.9	32.733624	283.0	175.0	231.33333	226.9	18000	54.51231	17.325525	83.57403	-24.815506	54.511265	17.322182	83.82097	-18.72189	0.21191053	0.20794417	0.17757891	-54.95307	2.2739615	2.2670033	-0.006887591	97.60027694702148
10	255.5	98.57231	447.0	127.0	212.9	29.080751	251.0	155.0	255.625	212.9	20000	57.625866	18.82703	88.27566	-24.974916	57.625515	18.825869	88.11495	-20.473305	0.20728305	0.20794417	0.16377857	-58.02524	2.0977433	2.0667005	0.0011990833	108.80317950248718
11	217.33333	63.71464	333.0	82.0	206.5	33.83859	285.0	173.0	217.44444	206.5	22000	60.10913	20.209604	91.13278	-27.66659	60.10835	20.210075	91.640305	-22.207273	0.20686324	0.20794415	0.17388368	-60.48653	2.0396025	2.0182207	0.0019204204	119.3981831073761
12	211.5	44.971657	301.0	125.0	227.8	31.701103	278.0	174.0	211.6	227.8	24000	62.160637	21.643969	93.17295	-27.735247	62.16012	21.644712	94.53211	-22.706106	0.20937161	0.20794418	0.16925251	-62.52354	2.1228979	2.0967724	-0.0025366363	130.29329681396484
13	181.54546	58.258614	229.0	9.0	209.7	28.1	274.0	173.0	181.63637	209.7	26000	63.61351	22.920048	93.10451	-29.491524	63.612686	22.922411	94.17024	-24.08979	0.2068565	0.20794417	0.16916853	-63.952805	2.3458347	2.3189802	0.0019519727	141.01287627220154
14	193.4	84.55909	383.0	11.0	215.6	27.699097	278.0	181.0	193.5	215.6	28000	64.41836	23.82273	92.3773	-29.971415	64.4177	23.822582	91.93595	-25.148312	0.20688444	0.20794415	0.17756262	-64.74586	2.118515	2.110805	0.0018605519	151.565532207489
15	188.7	46.536114	265.0	76.0	212.2	30.82791	256.0	157.0	188.8	212.2	30000	65.083725	24.529121	92.49776	-28.59422	65.08288	24.529413	92.68557	-25.173304	0.21166605	0.20794417	0.16388395	-65.3784	2.0016458	2.000223	-0.0066861347	162.2860300540924
16	237.25	44.532993	312.0	172.0	203.7	25.227167	240.0	167.0	237.375	203.7	32000	65.28097	25.025448	95.31033	-28.662407	65.28023	25.025599	96.11505	-27.171926	0.20911671	0.20794417	0.1564179	-65.55882	1.9493421	1.9552152	-0.0022012903	172.90972065925598
17	227.2	34.553726	289.0	175.0	208.6	35.93383	262.0	172.0	227.3	208.6	34000	65.4137	25.580574	97.65719	-31.103746	65.41359	25.578922	98.655235	-26.911175	0.20778455	0.20794417	0.14776435	-65.65719	1.7967889	1.8238775	0.00030886146	184.56192636489868
18	218.33333	84.53533	323.0	16.0	205.2	19.466896	242.0	179.0	218.44444	205.2	36000	65.51394	26.014584	99.29229	-29.45695	65.51376	26.012335	100.679375	-29.131678	0.21263984	0.20794417	0.13788415	-65.729935	1.7514197	1.7714379	-0.009289907	195.04767227172852
19	195.4	63.756096	324.0	50.0	210.9	27.732471	254.0	172.0	195.5	210.9	38000	65.347015	26.397772	100.68069	-28.860573	65.34663	26.39538	102.37608	-30.085396	0.20724568	0.20794415	0.12756555	-65.55177	1.7611527	1.7822231	0.0014370402	205.72108840942383
20	203.0	46.84229	268.0	95.0	234.3	37.839264	297.0	185.0	203.1	234.3	40000	64.80033	26.609812	101.36497	-29.994453	64.80049	26.607204	103.48958	-30.869747	0.20991239	0.20794417	0.12697706	-64.9904	1.7989967	1.8256472	-0.004074951	216.85152649879456
21	204.6	61.178757	326.0	64.0	216.6	39.289185	291.0	172.0	204.7	216.6	42000	64.31379	26.735973	101.12565	-30.79779	64.31363	26.733303	103.67857	-32.115414	0.21303414	0.20794417	0.10788783	-64.47418	1.5891515	1.6018721	-0.011217966	227.6176941394806
22	200.6	70.695404	303.0	17.0	209.9	51.77538	316.0	154.0	200.7	209.9	44000	63.735374	26.739367	101.716934	-29.241602	63.734898	26.737654	104.36928	-31.182287	0.2078829	0.20794415	0.10114492	-63.89132	1.7519835	1.7646314	0.00014685195	238.27430367469788
23	209.77777	89.82177	354.0	10.0	253.2	59.268543	344.0	177.0	209.88889	253.2	46000	63.333378	26.573483	100.783295	-31.166973	63.33304	26.572466	103.935585	-33.55643	0.19565049	0.20794417	0.120027445	-63.49219	1.7058233	1.7202097	0.025831139	248.88279843330383
24	230.0	55.62174	310.0	121.0	270.3	53.229786	398.0	214.0	230.11111	270.3	48000	63.082317	26.362902	98.64111	-33.359123	63.082226	26.36221	102.09796	-35.52048	0.21149608	0.20794417	0.14910415	-63.259598	1.762448	1.7721828	-0.0070418315	260.14207220077515
25	245.75	94.00632	396.0	50.0	307.8	56.298847	409.0	218.0	245.875	307.8	50000	63.141556	26.140305	96.904175	-35.528687	63.141262	26.139383	99.78817	-34.26093	0.21003447	0.20794417	0.12228488	-63.30811	1.6144887	1.6205692	-0.0043334477	271.42941641807556
26	250.625	84.66395	365.0	83.0	274.0	19.626513	296.0	227.0	250.75	274.0	52000	63.04101	26.072273	94.706696	-34.39184	63.040554	26.071339	97.62075	-31.840334	0.20888476	0.20794415	0.120830975	-63.1927	1.5153115	1.5185094	-0.0019930026	282.5723614692688
27	266.57144	93.02359	410.0	77.0	280.8	53.706238	351.0	193.0	266.7143	280.8	54000	63.02518	26.080038	94.07734	-34.930992	63.024567	26.07978	96.56867	-33.87975	0.21030273	0.20794418	0.114880994	-63.169334	1.5762124	1.5720007	-0.005148425	293.0002450942993
28	256.25	24.641174	298.0	210.0	313.4	95.77286	500.0	180.0	256.375	313.4	56000	62.93033	26.053862	93.60292	-35.918827	62.930004	26.053894	96.19313	-33.960743	0.21108995	0.20794415	0.10202818	-63.060635	1.8232096	1.8202505	-0.007180718	304.2582128047943
29	287.42856	113.32741	500.0	159.0	322.4	89.64731	494.0	210.0	287.57144	322.4	58000	62.91247	25.963966	92.60888	-38.53879	62.912342	25.963255	95.61822	-37.689377	0.20796876	0.20794417	0.09368536	-63.030674	1.6342165	1.6225843	-5.2859046e-05	315.3991129398346
30	328.66666	113.01721	500.0	146.0	337.3	88.41725	500.0	240.0	328.83334	337.3	60000	63.03788	25.91129	91.1414	-40.10397	63.03737	25.911646	94.158394	-41.36002	0.2083171	0.20794417	0.09959726	-63.160152	1.5735588	1.5604264	-0.00086497003	326.78552198410034
31	298.0	79.89994	419.0	173.0	374.5	69.19285	500.0	294.0	298.14285	374.5	62000	63.13277	25.836914	90.789734	-40.860153	63.132553	25.836409	93.159454	-41.577232	0.20612243	0.20794417	0.09844282	-63.25644	1.4535357	1.4392648	0.0042360956	337.9024267196655
32	336.4	144.46951	468.0	86.0	357.9	56.818043	466.0	287.0	336.6	357.9	64000	63.378254	25.756123	90.83232	-46.153503	63.37778	25.756092	91.88429	-45.249638	0.20491785	0.20794417	0.104027025	-63.498787	1.5857348	1.5786194	0.0067875464	347.99615502357483
33	337.42856	48.70863	403.0	257.0	382.3	34.22879	449.0	332.0	337.57144	382.3	66000	63.500336	25.730778	90.82627	-46.318665	63.50016	25.73003	90.85434	-46.373737	0.21028401	0.20794417	0.10770141	-63.628384	1.604336	1.5938777	-0.0052363425	360.1928288936615
34	335.4	153.41917	452.0	40.0	486.7	28.844584	500.0	403.0	335.6	486.7	68000	63.621086	25.681017	90.8744	-43.16967	63.62084	25.680254	90.87046	-40.93015	0.20445606	0.20794417	0.10537536	-63.74326	1.6217141	1.603747	0.007815113	370.5415279865265
35	432.6	84.91785	500.0	300.0	500.0	0.0	500.0	500.0	432.6	500.0	70000	63.98637	25.598417	90.964615	-46.819103	63.986233	25.598846	91.19668	-46.330887	0.21259373	0.20794418	0.10273087	-64.10882	1.5853709	1.5626973	-0.010576588	382.99036478996277
36	425.0	129.90381	500.0	200.0	500.0	0.0	500.0	500.0	425.0	500.0	72000	64.43935	25.472612	91.10917	-44.56738	64.4392	25.472555	91.268654	-44.04409	0.20755997	0.20794415	0.08991733	-64.55936	1.4889613	1.4737557	0.0009151801	393.32819294929504
37	500.0	0.0	500.0	500.0	500.0	0.0	500.0	500.0	500.0	500.0	74000	65.27209	25.447454	91.34263	-47.92685	65.27204	25.446985	91.564804	-47.880466	0.20090353	0.20794417	0.11038144	-65.4057	1.5859195	1.5663403	0.015708113	404.48440074920654
38	500.0	0.0	500.0	500.0	500.0	0.0	500.0	500.0	500.0	500.0	76000	66.24455	25.613705	91.74842	-48.79706	66.2441	25.614618	91.81479	-47.8269	0.2096126	0.20794417	0.11537042	-66.37733	1.5350305	1.5188357	-0.0035518042	415.38588786125183
39	500.0	0.0	500.0	500.0	500.0	0.0	500.0	500.0	500.0	500.0	78000	67.17669	25.719427	92.084404	-49.050354	67.17659	25.71965	92.31597	-47.31352	0.20294991	0.20794417	0.12461809	-67.32653	1.5527432	1.5257359	0.010336863	426.81287264823914
40	500.0	0.0	500.0	500.0	500.0	0.0	500.0	500.0	500.0	500.0	80000	68.31148	25.891232	92.9411	-49.431095	68.31121	25.891943	93.089264	-49.80588	0.20557165	0.20794417	0.14837079	-68.48299	1.5445476	1.5195625	0.0045853183	438.2842490673065
41	500.0	0.0	500.0	500.0	500.0	0.0	500.0	500.0	500.0	500.0	82000	69.45335	26.148537	93.62472	-50.6936	69.4531	26.14911	93.67808	-52.87033	0.20957235	0.20794417	0.14774424	-69.62136	1.3587348	1.3389627	-0.003114339	449.1377146244049
42	500.0	0.0	500.0	500.0	500.0	0.0	500.0	500.0	500.0	500.0	84000	70.567764	26.33421	94.1998	-55.728897	70.56723	26.3352	94.241714	-57.927795	0.20544928	0.20794417	0.15055077	-70.7459	1.5066689	1.4891049	0.0047495235	460.4795684814453
43	500.0	0.0	500.0	500.0	500.0	0.0	500.0	500.0	500.0	500.0	86000	71.804474	26.424358	94.77145	-54.64724	71.804245	26.42464	94.83254	-53.472054	0.207251	0.20794417	0.16045451	-71.99283	1.3474678	1.3340105	0.001282373	471.97279620170593
44	500.0	0.0	500.0	500.0	500.0	0.0	500.0	500.0	500.0	500.0	88000	72.94741	26.65899	95.431175	-52.268173	72.94726	26.659353	95.6388	-52.332096	0.20651463	0.20794417	0.1619308	-73.14233	1.3732502	1.3546674	0.002583128	483.3593113422394
45	500.0	0.0	500.0	500.0	500.0	0.0	500.0	500.0	500.0	500.0	90000	74.17177	26.87232	96.06905	-54.455936	74.17153	26.873617	96.356186	-52.032585	0.21042632	0.20794417	0.16387528	-74.36293	1.4784182	1.4688215	-0.004513944	494.94545912742615
46	500.0	0.0	500.0	500.0	500.0	0.0	500.0	500.0	500.0	500.0	92000	75.12593	27.049395	96.77736	-55.020588	75.12568	27.050716	97.39595	-53.488243	0.20580466	0.20794417	0.16159932	-75.32748	1.3784585	1.3667505	0.0039194	506.0405304431915
47	500.0	0.0	500.0	500.0	500.0	0.0	500.0	500.0	500.0	500.0	94000	76.37748	27.166561	98.35347	-55.66083	76.37728	27.166616	98.11431	-55.47515	0.20698616	0.20794417	0.17329086	-76.59952	1.244478	1.2380878	0.0017079659	517.0823397636414
48	500.0	0.0	500.0	500.0	500.0	0.0	500.0	500.0	500.0	500.0	96000	77.735275	27.210749	99.90437	-56.50505	77.73475	27.21113	99.314026	-57.04634	0.2061543	0.20794417	0.18583103	-77.98303	1.3175381	1.3099968	0.0030868985	528.3398723602295
49	500.0	0.0	500.0	500.0	500.0	0.0	500.0	500.0	500.0	500.0	98000	79.19414	27.17861	101.5105	-60.137417	79.19367	27.17943	100.34416	-61.81781	0.20694354	0.20794417	0.19080877	-79.47266	1.4011228	1.386552	0.001677372	539.9506850242615
