Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	PiEntropy	TargEntropy	Alpha	LossPi	LossQ1	LossQ2	LossAlpha	Time
1	28.57971	28.096834	160.0	10.0	304.3	107.2726	493.0	199.0	28.57971	304.3	2000	5.5245795	3.0481834	13.176623	-0.31751102	5.5234785	3.0614364	13.016263	-0.18975401	0.6408226	0.20794418	0.7596651	-6.0303617	0.36910436	0.34595722	-0.115810506	7.196954011917114
2	214.0	86.97893	312.0	29.0	280.2	36.82336	343.0	231.0	214.11111	280.2	4000	15.313177	4.217402	24.61916	-3.4383175	15.313361	4.2253594	24.708366	-2.54911	0.3634839	0.20794418	0.49451804	-15.8525095	0.5413385	0.5315025	-0.10587145	13.934751987457275
3	235.375	59.554466	307.0	102.0	295.3	68.32284	488.0	237.0	235.5	295.3	6000	24.50575	5.3599234	36.780205	-6.9532647	24.505676	5.3676405	36.63129	-5.1556964	0.28552845	0.20794417	0.36713618	-25.089901	0.92497617	0.9127884	-0.07686653	20.41176724433899
4	303.85715	87.82357	500.0	218.0	311.1	71.59672	469.0	222.0	304.0	311.1	8000	33.049812	6.9925528	49.81356	-9.098089	33.049866	7.002246	49.71216	-6.893884	0.24720618	0.20794417	0.2639221	-33.616993	1.2036713	1.1862595	-0.05156417	27.58681631088257
5	258.125	80.6093	402.0	90.0	268.0	52.201534	374.0	211.0	258.25	268.0	10000	40.74292	8.811581	60.265614	-12.69162	40.743023	8.823211	60.037926	-9.804717	0.21983199	0.20794418	0.19744532	-41.296505	1.5594575	1.5361872	-0.018893056	34.93293786048889
6	285.66666	147.98048	500.0	24.0	353.1	81.0092	483.0	258.0	285.83334	353.1	12000	46.717667	10.63449	67.795715	-15.283145	46.71785	10.641943	67.21084	-11.8946	0.21275413	0.20794418	0.1725455	-47.2518	1.7839751	1.7602699	-0.008401753	41.11107635498047
7	329.57144	81.68731	500.0	242.0	294.4	39.368008	374.0	218.0	329.7143	294.4	14000	52.235065	12.57418	78.10429	-16.718922	52.23523	12.577278	77.2043	-13.073748	0.20556153	0.20794415	0.16857786	-52.743652	1.9384127	1.8997877	0.00419105	48.853108167648315
8	257.2857	118.8501	419.0	1.0	272.7	37.328407	345.0	225.0	257.42856	272.7	16000	56.923462	14.636855	84.746994	-18.969639	56.92373	14.637543	83.77281	-14.660239	0.20786788	0.20794417	0.1833784	-57.39651	2.1699808	2.117269	0.00013391815	55.13833546638489
9	264.75	47.83239	370.0	199.0	292.2	75.82058	446.0	225.0	264.875	292.2	18000	60.467117	16.516306	92.21514	-19.967865	60.46753	16.517511	91.17092	-15.660853	0.2099586	0.20794417	0.1761851	-60.912586	2.3286338	2.2576604	-0.003514202	62.43968844413757
10	249.625	68.842094	295.0	80.0	279.1	42.95684	370.0	236.0	249.75	279.1	20000	63.37689	18.340782	98.35157	-22.39706	63.3772	18.340263	96.97034	-17.015457	0.20726022	0.20794417	0.16334791	-63.780804	2.4463692	2.3469346	0.0012239603	69.60150146484375
11	264.14285	86.9161	390.0	82.0	318.8	74.957054	500.0	225.0	264.2857	318.8	22000	65.598	19.679901	105.549614	-22.188671	65.598	19.680775	102.97639	-17.962334	0.2060255	0.20794417	0.18237334	-65.97835	2.431016	2.2767406	0.0033327455	76.2056987285614
