Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	PiEntropy	TargEntropy	Alpha	LossPi	LossQ1	LossQ2	LossAlpha	Time
1	17.897196	12.176993	94.0	8.0	394.0	124.00081	500.0	130.0	17.897196	394.0	2000	5.1204495	2.847916	12.014912	-0.2594048	5.123828	2.8488169	12.079913	-0.6744603	0.65612465	0.20794418	0.7627355	-5.643906	0.3933612	0.3806629	-0.122702956	76.91592645645142
2	189.2	80.7698	357.0	87.0	201.4	43.879833	272.0	135.0	189.2	201.4	4000	13.827566	4.7314744	22.99689	-2.907465	13.828096	4.735128	22.746141	-3.4542527	0.3933658	0.20794417	0.4848231	-14.400871	0.4257806	0.42795098	-0.12849085	120.77907848358154
3	180.91667	17.070726	213.0	149.0	214.8	63.16455	384.0	150.0	181.0	214.8	6000	22.795532	6.8015695	33.8121	-8.596728	22.796364	6.7988176	34.382515	-8.427217	0.28798026	0.20794417	0.3559594	-23.47478	0.61974865	0.6378614	-0.081817955	167.7152762413025
4	176.09091	56.545162	251.0	22.0	205.2	41.61442	309.0	178.0	176.18182	205.2	8000	30.310698	8.74863	42.29166	-10.738934	30.31161	8.742652	42.971096	-11.354539	0.25373736	0.20794417	0.2484964	-30.970684	0.82546896	0.8613824	-0.06294226	212.51248002052307
5	186.90909	48.51514	295.0	84.0	182.4	21.809172	229.0	160.0	187.0	182.4	10000	36.509605	10.89087	49.776676	-13.505829	36.510403	10.885044	50.55184	-15.102358	0.22173704	0.20794417	0.1866605	-37.15881	0.9735459	1.0218993	-0.022745661	254.17989468574524
6	190.8	67.16219	308.0	27.0	180.9	22.726416	216.0	154.0	190.9	180.9	12000	41.671925	12.948078	56.107105	-15.355564	41.672527	12.941644	55.934513	-16.698763	0.20880689	0.20794418	0.16889036	-42.28382	1.1821036	1.2439595	-0.0015223377	294.64529275894165
7	181.0	34.20526	261.0	118.0	195.8	29.741554	235.0	145.0	181.09091	195.8	14000	45.71292	14.904955	61.761715	-17.104519	45.713394	14.898633	61.354885	-18.667625	0.20583342	0.20794417	0.1753756	-46.288303	1.3731288	1.4407123	0.0036724524	338.114328622818
8	190.54546	41.40128	278.0	126.0	177.2	35.569088	262.0	141.0	190.63637	177.2	16000	49.24472	16.83684	67.34228	-19.093271	49.245068	16.831429	66.7233	-20.733173	0.20770684	0.20794415	0.18762219	-49.788666	1.4154599	1.4726677	0.00040763232	378.5613353252411
9	161.08333	45.172737	213.0	29.0	183.0	22.217112	218.0	141.0	161.16667	183.0	18000	51.717297	18.734741	71.02046	-19.227734	51.718052	18.730385	70.68821	-20.891676	0.20839754	0.20794417	0.17970899	-52.22424	1.5311624	1.5802064	-0.0007637327	419.8759889602661
10	165.33333	34.591263	235.0	95.0	167.8	22.328457	218.0	138.0	165.41667	167.8	20000	53.593636	20.185358	74.2038	-19.05449	53.594086	20.182854	73.957535	-20.814157	0.21025628	0.20794417	0.17156722	-54.07088	1.5041835	1.5476687	-0.00403968	459.04017305374146
11	188.90909	55.057743	316.0	110.0	177.9	23.411322	218.0	155.0	189.0	177.9	22000	55.16723	21.326986	76.70263	-18.46721	55.167213	21.326027	76.55769	-18.975843	0.21105364	0.20794417	0.15743975	-55.601936	1.502078	1.5284339	-0.0057479357	499.55978775024414
12	164.66667	45.148525	219.0	31.0	178.5	40.23742	280.0	139.0	164.75	178.5	24000	56.128193	22.354334	78.981155	-19.757383	56.128193	22.354656	78.48614	-19.372646	0.21559356	0.20794417	0.13266183	-56.520573	1.464402	1.469529	-0.015625028	539.8284301757812
13	162.83333	44.64085	250.0	54.0	183.5	34.34021	259.0	137.0	162.91667	183.5	26000	56.610558	23.01842	80.24556	-22.390106	56.610428	23.01947	80.07029	-21.948616	0.22176705	0.20794415	0.09491736	-56.967144	1.5040329	1.5059268	-0.032890137	580.9778342247009
14	164.25	33.446785	237.0	99.0	179.3	22.459074	213.0	136.0	164.33333	179.3	28000	56.864056	23.46735	81.429886	-21.932835	56.86421	23.467535	81.3845	-21.368338	0.21281214	0.20794418	0.068334356	-57.19119	1.5312089	1.5373974	-0.0128351785	621.4918146133423
15	174.91667	24.84773	232.0	127.0	169.0	21.052317	205.0	137.0	175.0	169.0	30000	56.99731	23.725466	82.52832	-22.099264	56.997402	23.724945	82.45286	-20.987085	0.18609399	0.20794415	0.08931862	-57.311073	1.4096577	1.4137956	0.05285207	660.8612098693848
16	164.91667	50.76491	252.0	27.0	185.2	29.260212	227.0	145.0	165.0	185.2	32000	57.105133	23.926908	83.578026	-22.44805	57.105446	23.926355	83.33756	-21.155958	0.19167669	0.20794417	0.14431031	-57.420403	1.3521069	1.3512752	0.03235191	702.345988035202
17	195.6	93.91507	437.0	47.0	185.4	27.321053	230.0	140.0	195.7	185.4	34000	57.47438	24.108463	84.21317	-23.237541	57.4744	24.10754	84.104294	-21.45692	0.2221431	0.20794415	0.13938737	-57.764076	1.3162436	1.318983	-0.028270502	743.9047899246216
18	174.08333	34.26723	234.0	90.0	192.3	43.940983	300.0	142.0	174.16667	192.3	36000	57.353165	24.255272	84.79201	-21.62674	57.35296	24.254414	84.5748	-20.019007	0.21857561	0.20794417	0.09483397	-57.61306	1.3878986	1.3935649	-0.024529213	787.0245957374573
19	167.36363	55.490005	211.0	0.0	171.1	39.249077	282.0	144.0	167.45454	171.1	38000	57.121513	24.3555	85.0888	-19.349018	57.12114	24.355267	84.8707	-18.243557	0.2002717	0.20794415	0.09528077	-57.37275	1.294972	1.3036661	0.018002886	826.0537869930267
